summary,loan_amnt,funded_amnt,term,int_rate,installment,annual_inc,dti,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,default
count,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
mean,14577.0325,14566.42,41.8416,13.246246000000529,443.30209500000217,74736.91431099997,18.139496000000097,696.2165,700.2168,11.5554,0.2175,15579.849740000036,51.64484100000007,25.0116,1.6648,0.2123
stddev,8741.086400762248,8735.0615203086,10.299743584759355,4.782635514831833,264.428248230871,42181.576953892945,8.814750876189587,31.95871968221466,31.960121130782248,5.502177590356699,0.5950034898345479,15549.266825857934,24.524928185521116,12.227265272398576,1.9967072003587298,0.4089565191355367
min,1000.0,1000.0,36,5.31,30.94,0.0,0.0,640.0,644.0,1.0,0.0,0.0,0.0,2.0,0.0,0
max,40000.0,40000.0,60,30.99,1618.03,252000.0,100.0,845.0,850.0,64.0,11.0,95132.15,100.0,97.0,27.0,1
